Title,Beds,Bath,Area,Address,Type,Price(BDT)
"Ease Up Your Life By Sale This 700 Sq Ft Flat In Mohammadpur, Pc Culture Housing",2,2,700 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2800000
1350 Square Feet Apartment With A Calm Environment Is For Sale In Mirpur-11,3,3,1350 sqft,"Block A, Section 11, Mirpur, Dhaka",Apartment,8700000
"In The Suitable Location Of Uttara 13, An Eye-Catching Flat Of 2100 Sq Ft Is Up For Sale",4,2,2100 sqft,"Road No 2, Sector 13, Uttara, Dhaka",Apartment,6000000
1319 Sq Ft Flat Is Situated At Bashundhara R/A Near Ebenzer International School Which Is Waiting For Being Saleed,3,3,1319 sqft,"Block C, Bashundhara R-A, Dhaka",Apartment,6500000
1676 Square Feet Residential Apartment With 3 Bedrooms For Sale In Uttara-4,3,3,1676 sqft,"Sector 4, Uttara, Dhaka",Apartment,7900000
An Apartment Of 1400 Sq Ft Is Now Ready To Sale In Boro Maghbazar,3,3,1400 sqft,"Boro Maghbazar, Maghbazar, Dhaka",Apartment,5100000
A 1825 Sq Ft Apartment Is Waiting For Sale At Uttara Nearby Uttara East Police Station,3,3,1825 sqft,"Sector 4, Uttara, Dhaka",Apartment,8600000
"See This 3000 Sq Ft Residential Apartment Space To Sale Located In Sector 3, Uttara",5,3,3000 sqft,"Sector 3, Uttara, Dhaka",Apartment,40000000
"A 3000 Sq Ft Residential Apartment To Sale In Uttara, Sector 3",5,3,3000 sqft,"Sector 3, Uttara, Dhaka",Apartment,30000000
"1250 Square Feet Apartment Is Up To Sale At Block A, Chandrima Model Town",3,3,1250 sqft,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,5300000
"This Smartly Priced Apartment Which Is Up For Sale In Chandrima Model Town-Block A , That You Should Check.",3,3,1250 sqft,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,9000000
Grab This 3 Bedroom Apartment Up For Sale At Maghbazar Beside Boro Mogbazar Wireless Chaurasta Jame Mosque.,3,3,1300 sqft,"Maghbazar, Dhaka",Apartment,4400000
Get Comfortable In A Flat For Sale In Kalabagan Nearby Masjid-E-Baqquatil Mubaraquah,3,3,1200 sqft,"Kalabagan, Dhaka",Apartment,4100000
Offering You 1250 Sq Ft Well-Constructed Flat To Sale In Shukrabad,3,2,1250 sqft,"Shukrabad, Dhanmondi, Dhaka",Apartment,8300000
Well-Constructed 1250 Sq Ft Home Is Now Offering To You In Shukrabad For Sale,3,2,1250 sqft,"Shukrabad, Dhanmondi, Dhaka",Apartment,8800000
Take This 3 Bedrooms Residential Flat For Sale At Gulshan 2 Area Nearby Green Dale Int School,3,3,2977 sqft,"Gulshan 2, Gulshan, Dhaka",Apartment,40000000
Decent Sized Flat Is Now Up For Sale In Baridhara Close To Myanmar Embassy,3,3,2300 sqft,"Block K, Baridhara, Dhaka",Apartment,7500000
We Have A 1500 Sq. Ft Home For You In Uttara Nearby Al-Arafah Islami Bank,4,3,1500 sqft,"Sector 11, Uttara, Dhaka",Apartment,7400000
High Standards Of Living � 2300 Sq Ft Flat For Sale In Baridhara,3,3,2300 sqft,"Baridhara, Dhaka",Apartment,15000000
Your Dream Home Including 3 Bedroom Is Ready To Be Saleed At Chandrima Model Town,3,3,1250 sqft,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,8700000
"An Apartment Up For Sale In Al Falah Housing Society, Nearby Nasirabad High School.",3,3,1500 sqft,"Al-Falah Housing Society, East Nasirabad, Chattogram",Apartment,9000000
This Ready And Comfortable 2500 Square Feet Apartment Is Up For Sale At Bashundhara R-A,3,3,2500 sqft,"Block J, Bashundhara R-A, Dhaka",Apartment,3500000
"350 Sq Ft Flat Is Up For Sale In Pc Culture Housing, Mohammadpur",2,2,980 sqft,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,3700000
2600 Sq Ft Flat Is Now Vacant For Sale In Uttara Close To Agora,3,3,2600 sqft,"Sector 13, Uttara, Dhaka",Apartment,20000000
Flat For Sale In Mohammadpur Close To Quaderia Taiyebia Alia Kamil Madrasah,2,2,800 sqft,"Mohammadpur, Dhaka",Apartment,2900000
"Make This 1200 Sq Feet Nice Flat Yours, By Sale It In Goltek",3,3,1200 sqft,"Cantonment, Dhaka",Apartment,6900000
1350 Square Feet Full Furnished Apartment Is Ready For Sale In Uttara-3,3,3,1350 sqft,"Sector 3, Uttara, Dhaka",Apartment,6100000
Seize This 1550 Square Feet Residential Flat Up For Sale In South Badda,3,3,1550 sqft,"South Badda, Badda, Dhaka",Apartment,8300000
See This Apartment Is Up For Sale At Naya Nagar Near Nayanagar Masjid.,2,2,980 sqft,"Naya Nagar, Khilkhet, Dhaka",Apartment,2700000
A Brand New 1975 Sq Ft Beautiful Apartment For Sale In Mohammadpur,4,3,1975 sqft,"Tajmahal Road, Mohammadpur, Dhaka",Apartment,7700000
"In Rampura Near Mohanagar Project, A Flat Is Ready For Sale",3,2,1050 sqft,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Apartment,3700000
"1500 Sq Ft Flat Is Available For Sale In Mohammadpur, Mohammadia Housing Society",3,3,1500 sqft,"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,7800000
